brewery_id;brewery_name;brewery_city;brewery_country;brewery_type
29379;The Bier Abbey;Schenectady;US;Bar, Eatery
11509;City Pub;Redwood City;US;Bar, Eatery
6037;Günther Bräu;Burgkunstadt;DE;Brewery
19284;Ram Restaurant And Brewery;Kent;US;Brewery, Bar, Eatery, Beer-to-go
52014;The Florida Key Lime Pie Company;Cocoa Beach;US;Store
3884;Super Store;Alhambra;US;Store
33664;Broken Plow Brewery;Greeley;US;Brewery, Bar
2365;The Berkley Front;Berkley;US;Bar, Eatery
39344;Merrie Harrier;Penarth;GB;Bar, Eatery
28456;North River Tavern;Sandy Springs;US;Bar, Eatery
33229;Pattenburg House;Asbury;US;Bar, Eatery, Beer-to-go
14479;Fastnet Pub;Newport;US;Bar, Eatery
47448;Cerveja Capitu;São Paulo - SP;BR;Brewery
33211;Lion's Heart Brewery;Gećitköy;CY;Brewery
31102;Brasserie Docteur Gab’s;Savigny;CH;Brewery
19822;Main Street Wine and Spirits;Amelia;US;Store
33612;Pivovar;Kaliningrad;RU;Brewery, Bar, Eatery, Beer-to-go
43150;Peaches;Garmisch-Partenkirchen;DE;Bar, Eatery
9396;Macy's Liquors;West Roxbury;US;Store
46918;Latham House Tavern;Lyme;US;Bar, Eatery
47002;Crooked Lane Brewing Company;Auburn;US;Brewery, Bar, Beer-to-go
48958;Lil Paws Winery;Lake Milton;US;Brewery, Bar, Beer-to-go
46638;Cafe Trappist;St. Petersburg;RU;Bar, Eatery
10710;The Sidelines;Arcata;US;Bar, Eatery
43123;Cervezas Speranto;Toledo;ES;Brewery
10083;Palos de Moguer - 93;Bogota;CO;Brewery, Bar, Eatery
24211;Wharfebank Brewery;Pool In Wharfedale;GB;Brewery
11621;Abiy's International Wines & Liquor;Jefferson City;US;Store
33436;Howey Market;Howey-in-the-Hills;US;Store
33855;Farm Girls Pub & Grub;Alliance;US;Bar, Eatery
44754;Ironwood Cafe;Southern Pines;US;Bar, Eatery
53635;Twisted Vine Beverage Company;Kane;US;Brewery, Bar, Eatery
22665;The Bench Bar & Grill;Stony Brook;US;Bar, Eatery
22354;Trader Joe's - Cambridge (502);Cambridge;US;Store
39198;Wayzata Wines & Spirits;Wayzata;US;Store
43343;Axe & Barrel Brewing Company;Victoria;CA;Brewery, Beer-to-go
22277;The Sun Inn;Corfton;GB;Brewery, Bar, Eatery, Beer-to-go
45404;Cerveja Independente Musa;Lisboa;PT;Brewery
46927;Stone Brewing - Berlin;Berlin;DE;Brewery, Bar, Eatery, Beer-to-go
26770;Hokkaido Brewing;Hokkaido Otaru-shi;JP;Brewery
2771;Sanctuary Restaurant & Pub;Iowa City;US;Bar, Eatery
20537;Le Trèfle Noir;Rouyn-Noranda;CA;Brewery, Bar, Eatery
18482;Volker-Bräu;Alzey;DE;Brewery
2803;Malt Pivo;Elin Pelin;BG;Brewery
19533;Maison De Brasseur;Pont-d'Ain;FR;Brewery
39948;Stamm Beer;Moskovskaya oblast;RU;Brewery, Bar, Eatery
4443;První Novoměstský restaurační pivovar;Praha;CZ;Brewery, Bar, Eatery
20897;Wegmans - Ridgemont;Rochester;US;Store
20053;Captain's Keg;Stratford;US;Store
31062;Harlan Beverage;Malvern;US;Store
40752;Four Mile Brewing;Olean;US;Brewery, Bar, Eatery, Beer-to-go
31172;Jake's Roadhouse & Garage;West Lafayette;US;Bar, Eatery
39805;Pivovar Jadrníček;Náměšť na Hané;CZ;Brewery, Bar
22688;High Beck Tavern;Columbus;US;Bar, Eatery
43096;Valley Tavern;King of Prussia;US;Bar, Eatery
16670;8th Street Grill & Tap House;Minneapolis;US;Bar, Eatery
23353;Arrow Brewing Company & Oak Bar;Arrowtown;NZ;Brewery, Bar, Eatery
11034;Bard's Tale Beer Company;Edina;US;Brewery
19009;Utah State Liquor Store #25;Salt Lake City;US;Store
25001;Coogee Cafe After Dark;Coogee;AU;Bar, Eatery
41933;Salty Dawg Saloon;Homer;US;Bar
5521;Di Pasquale's;Fallston;US;Store
38786;Brotzeit Lokal Boathaus & Biergarten;Oakland;US;Bar, Eatery
27220;Crown Liquors #13;Noblesville;US;Store
41630;Ale Mary's at The Bittenbender;Scranton;US;Bar, Eatery, Beer-to-go
18064;Whole Foods Market;Portland;US;Store
23991;Rock & Brews;El Segundo;US;Bar, Eatery
37613;Coda Urban Bistro;Richmond;US;Bar, Eatery
24356;Coffee Creek Wine Shop;Edmond;US;Store
6595;Brauerei Alsfeld AG;Alsfeld;DE;Brewery
14284;JP Bullfeathers;Buffalo;US;Bar, Eatery
25430;SoCal Beer Company;Tarzana;US;Brewery
21152;Jack's Package Store;Mountain Home;US;Store
16594;LagerHaus Grill & Brewery;Palm Harbor;US;Brewery, Bar, Eatery
7440;Brew Ha Ha;New Orleans;US;Homebrew
41585;Booneshine Brewing Company;Boone;US;Brewery
49851;The Pint and Cork;Kihei;US;Bar, Eatery
38213;Fetish Brewing Company;Lancaster;US;Brewery
32611;N & N Express Mart;Franklin;US;Store
26685;Mike's Package Store;Douglasville;US;Store
38969;Bidassoa Basque Brewery;Irún;ES;Brewery
31845;Plan B Burger Bar;Stamford;US;Bar, Eatery
3987;Mellinger Beer Distributor;Pittsburgh;US;Store
7593;Feldschloesschen AG;Dresden;DE;Brewery
33398;Water Tower Liquors;Arvada;US;Store
36803;World of Beer;Charlottesville;US;Bar, Eatery, Beer-to-go
18058;Saranac Brewhouse and Restaurant - Albany International Airport;Albany;US;Bar
22530;Angler's Seafood House;Lawrence;US;Bar, Eatery
29023;Icon Beverages & Cigars;Cypress;US;Store
12827;The Vin Bin;Marlborough;US;Store
30738;Hazel's Beverage World;Boulder;US;Store
39003;Paddy O'Neill's Irish Pub;Deadwood;US;Bar, Eatery
23059;American Homesteader;Norwich;US;Homebrew
21893;The Morrissey House;London;CA;Bar, Eatery
48169;Bad Shepherd Brewing Co.;Cheltenham;AU;Brewery, Bar, Eatery, Beer-to-go
53261;Lapin Panimo;Rovaniemi;FI;Brewery
45819;Brasserie Blessing;Waldhambach;FR;Brewery, Bar, Beer-to-go
31473;Metcalfe's Market;Wauwatosa;US;Store
9772;Dux de Lux;Christchurch;NZ;Brewery, Bar, Eatery
20162;Township Liquors;Blackwood;US;Store
39409;Wheatsheaf Inn;Cheltenham;GB;Bar, Eatery
16139;Highland Beverage;Hiram;US;Store
46248;Tonic MRKT;Asheville;US;Bar, Eatery, Beer-to-go
44405;Aubree's Pizzeria & Grill;Grand Blanc;US;Bar, Eatery
13748;On the Rocks;Columbia;US;Bar
32508;Black Dog Bar & Tables;Cedar Key;US;Bar
16652;Altstadter Weinstube & Biergarten;Helen;US;Bar, Eatery
21582;Alte Schreibstube;Sennfeld;DE;Bar, Eatery
33459;Alburtis Tavern and Lodge;Alburtis;US;Bar, Eatery, Beer-to-go
42960;Lilla Ölfabriken;Malmö;SE;Brewery
26692;Astoria Brewhouse;Queens;US;Bar, Eatery
15328;Whole Foods Market;Redondo Beach;US;Store
22071;Wolfs 1-11;Albany;US;Bar, Eatery
37152;Bierderie;Wormerveer;NL;Brewery
17394;Ellenville Beer & Soda;Ellenville;US;Store
51973;Ārpus Brewing Co.;Riga;LV;Brewery
51571;Lilac Wines;Dublin;IE;Store
30101;Garfield's Tap & Grille;Brielle;US;Bar, Eatery
3854;The Country Inn;Krumville;US;Bar, Eatery
53387;Canned Heat Craft Beer Company;Fall River;US;Brewery, Bar, Beer-to-go
42399;Alus Darbnīca Labietis;Rīga;LV;Brewery, Bar
46028;Flying Turtle;Berlin;DE;Brewery
12746;Hoosick Street Beverage Center;Troy;US;Store
35573;Twisted K-8 Brewing Company;LaPorte;US;Brewery, Bar, Eatery
50442;Les Assoiffés - Bistro;Saint-Lambert;CA;Bar, Eatery
52082;Paradigm Shift;Massillon;US;Brewery, Bar, Beer-to-go
28874;World of Beer;Saint Petersburg;US;Bar, Beer-to-go
17720;George's;Waco;US;Bar, Eatery
4255;Old Chicago Pasta & Pizza;Minnetonka;US;Bar, Eatery
410;Pittsburgh Brewing Co.;Pittsburgh;US;Brewery
39377;The Bruin Craft Beer and Wine;New Bern;US;Bar, Beer-to-go
24182;Club Havana 134;Anderson;US;Bar
33179;Brauhaus Napoleon;Leipzig;DE;Brewery, Bar, Eatery
6231;Wagner Bräu Kemmern e. K.;Kemmern;DE;Brewery
30129;Christy's Irish Pub ;New Haven;US;Bar, Eatery
45367;Pivovarni Heineken;Minsk;BY;Brewery
43771;Gus's Community Market;San Francisco;US;Bar, Eatery, Beer-to-go
19798;Wimberley Brewing Company And Brewpub;Wimberley;US;Brewery, Bar, Eatery
11669;Red Lion Pub;Houston;US;Bar, Eatery
1795;New Road Brewhouse;Collegeville;US;Brewery, Bar, Eatery
32998;Doc Magrogan's Oyster House;Dover;US;Bar, Eatery
28271;East London Brewing Company;London;GB;Brewery
6723;Löwenbräu Rittler;Baienfurt;DE;Brewery
21409;The Copper Turret;Morrisville;US;Bar
32913;Barley Brothers - Polo Park;Winnipeg;CA;Bar, Eatery
